dll,ordinal,rva,export,stdcall_stack_bytes,parameter_count_estimate
MOMIJI,1,0000cc60,GetEngineVersion,0,0
MOMIJI,2,0000cc70,Initialize,0,0
MOMIJI,3,0000ccd0,Terminate,4,1
MOMIJI,4,0000ccf0,GetRemoteHosts,24,6
MOMIJI,5,0000cd40,Open,8,2
MOMIJI,6,0000cdb0,OpenEx,8,2
MOMIJI,7,0000cdf0,Close,4,1
MOMIJI,8,0000ce10,GetDeviceName,16,4
MOMIJI,9,0000cec0,ClearTOCStructure,4,1
MOMIJI,10,0000ced0,GetTOCStructure,16,4
MOMIJI,11,0000cef0,SetTOCStructure,16,4
MOMIJI,12,0000cf10,GetFirstLBA,4,1
MOMIJI,13,0000cf20,GetLastLBA,4,1
MOMIJI,14,0000cf30,SetBufferingBlockLength,8,2
MOMIJI,15,0000cf50,ReadStart,12,3
MOMIJI,16,0000cf70,ReadLBA,12,3
MOMIJI,17,0000cf90,ReadLBADummy,12,3
MOMIJI,18,0000cfb0,ReadEnd,4,1
MOMIJI,19,0000cfd0,WriteStart,12,3
MOMIJI,20,0000cff0,WriteLBA,16,4
MOMIJI,21,0000d020,WriteFlush,8,2
MOMIJI,22,0000d040,WriteEnd,8,2
MOMIJI,23,0000d060,GetLastWroteLBA,4,1
MOMIJI,24,0000d070,LoadTray,8,2
MOMIJI,25,0000d090,IsReady,4,1
MOMIJI,26,0000d0b0,GetMediaType,4,1
MOMIJI,27,0000d0c0,GetMediaFamilyType,4,1
MOMIJI,28,0000d0d0,LockUnlock,8,2
MOMIJI,29,0000d0f0,Erase,8,2
MOMIJI,30,0000d110,IsSupportMedia,8,2
MOMIJI,31,0000d130,IsReadSupport,8,2
MOMIJI,32,0000d150,IsWriteSupport,8,2
MOMIJI,33,0000d170,IsDiscEmpty,4,1
MOMIJI,34,0000d190,ResetSense,4,1
MOMIJI,35,0000d1a0,SetECCMode,12,3
MOMIJI,36,0000d1c0,SetReadSpeed,12,3
MOMIJI,37,0000d1e0,SetWriteSpeed,12,3
MOMIJI,38,0000d200,GetWriteSpeed,12,3
MOMIJI,39,0000d220,CheckWriteMode,16,4
MOMIJI,40,0000d250,GetSCSIErrorStatus,4,1
MOMIJI,41,0000d260,SetWriteCacheBufferSize,8,2
MOMIJI,42,0000d280,GetUsedWriteCacheBufferSize,4,1
ZENKI,1,00011b20,GetEngineVersion,0,0
ZENKI,2,00011b30,Initialize,0,0
ZENKI,3,00011b80,Terminate,4,1
ZENKI,4,00011ba0,GetTOCStructure,16,4
ZENKI,5,00011bc0,InitISOFS,8,2
ZENKI,6,00011be0,ClearISO,4,1
ZENKI,7,00011bf0,IsISOEmpty,4,1
ZENKI,9,00011c00,AddISODummyFile,20,5
ZENKI,11,00011c60,GetISONewFileDirectoryName,12,3
ZENKI,12,00011ca0,ChangeISODirectory,8,2
ZENKI,13,00011cc0,RemoveISOFile,8,2
ZENKI,14,00011ce0,RenameISOFile,12,3
ZENKI,15,00011d10,ChangeISOProperties,16,4
ZENKI,16,00011d70,GetISOCurrentDirectory,12,3
ZENKI,18,00011db0,FindISONextFile,8,2
ZENKI,19,00011dd0,ClearTrack,4,1
ZENKI,20,00011de0,AddTrack,20,5
ZENKI,21,00011e10,ResetTrack,24,6
ZENKI,22,00011e50,RemoveTrack,8,2
ZENKI,23,00011e70,GetTrackCount,4,1
ZENKI,25,00011e80,ReadStart,8,2
ZENKI,26,00011ed0,Read,12,3
ZENKI,27,00011ef0,ReadEnd,4,1
ZENKI,28,00011f00,EnabledTrackText,8,2
ZENKI,29,00011f20,SetTrackText,20,5
ZENKI,30,00011f50,GetTrackText,24,6
ZENKI,8,00011fc0,AddISOFile,12,3
ZENKI,10,00011ff0,MakeISODirectory,16,4
ZENKI,17,00012050,FindISOFirstFile,8,2
ZENKI,24,00012080,GetTrackInformation,12,3
